model,family,params_b,benchmark,strategy,acc_mean,acc_std,n_seeds
llama-1b,Llama-3,1.0,gsm8k,cot,6.3,1.4,2
llama-1b,Llama-3,1.0,gsm8k,few_shot,2.0,0.9,2
llama-1b,Llama-3,1.0,gsm8k,structured,5.3,1.9,2
llama-1b,Llama-3,1.0,gsm8k,zero_shot,5.7,0.9,2
llama-1b,Llama-3,1.0,mmlu,cot,35.7,2.4,2
llama-1b,Llama-3,1.0,mmlu,few_shot,3.5,0.7,2
llama-1b,Llama-3,1.0,mmlu,structured,42.2,5.4,2
llama-1b,Llama-3,1.0,mmlu,zero_shot,31.2,0.2,2
llama-1b,Llama-3,1.0,sst2,cot,69.3,2.4,2
llama-1b,Llama-3,1.0,sst2,few_shot,0.3,0.5,2
llama-1b,Llama-3,1.0,sst2,structured,73.2,1.6,2
llama-1b,Llama-3,1.0,sst2,zero_shot,64.8,3.5,2
llama-3b,Llama-3,3.0,gsm8k,cot,73.2,2.1,2
llama-3b,Llama-3,3.0,gsm8k,few_shot,1.3,0.0,2
llama-3b,Llama-3,3.0,gsm8k,structured,9.8,1.2,2
llama-3b,Llama-3,3.0,gsm8k,zero_shot,10.8,1.2,2
llama-3b,Llama-3,3.0,mmlu,cot,55.3,1.4,2
llama-3b,Llama-3,3.0,mmlu,few_shot,34.0,1.4,2
llama-3b,Llama-3,3.0,mmlu,structured,56.7,0.9,2
llama-3b,Llama-3,3.0,mmlu,zero_shot,52.7,0.5,2
llama-3b,Llama-3,3.0,sst2,cot,85.0,1.4,2
llama-3b,Llama-3,3.0,sst2,few_shot,57.5,3.5,2
llama-3b,Llama-3,3.0,sst2,structured,89.7,0.5,2
llama-3b,Llama-3,3.0,sst2,zero_shot,88.7,0.9,2
llama-8b,Llama-3,8.0,gsm8k,cot,81.5,3.5,2
llama-8b,Llama-3,8.0,gsm8k,few_shot,1.3,0.5,2
llama-8b,Llama-3,8.0,gsm8k,structured,9.7,0.0,2
llama-8b,Llama-3,8.0,gsm8k,zero_shot,20.7,2.8,2
llama-8b,Llama-3,8.0,mmlu,cot,61.3,3.8,2
llama-8b,Llama-3,8.0,mmlu,few_shot,56.8,2.6,2
llama-8b,Llama-3,8.0,mmlu,structured,64.0,2.4,2
llama-8b,Llama-3,8.0,mmlu,zero_shot,62.5,2.6,2
llama-8b,Llama-3,8.0,sst2,cot,90.5,0.2,2
llama-8b,Llama-3,8.0,sst2,few_shot,85.0,0.0,2
llama-8b,Llama-3,8.0,sst2,structured,92.2,0.7,2
llama-8b,Llama-3,8.0,sst2,zero_shot,92.0,0.0,2
qwen-0.5b,Qwen2.5-Instruct,0.5,gsm8k,cot,26.7,1.9,2
qwen-0.5b,Qwen2.5-Instruct,0.5,gsm8k,few_shot,3.8,0.2,2
qwen-0.5b,Qwen2.5-Instruct,0.5,gsm8k,structured,2.8,0.7,2
qwen-0.5b,Qwen2.5-Instruct,0.5,gsm8k,zero_shot,3.2,1.6,2
qwen-0.5b,Qwen2.5-Instruct,0.5,mmlu,cot,28.7,4.7,2
qwen-0.5b,Qwen2.5-Instruct,0.5,mmlu,few_shot,27.5,1.6,2
qwen-0.5b,Qwen2.5-Instruct,0.5,mmlu,structured,26.5,2.1,2
qwen-0.5b,Qwen2.5-Instruct,0.5,mmlu,zero_shot,35.3,3.8,2
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,cot,67.2,3.5,2
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,few_shot,85.5,0.2,2
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,structured,73.3,1.9,2
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,60.2,2.6,2
qwen-1.5b,Qwen2.5-Instruct,1.5,gsm8k,cot,57.7,2.8,2
qwen-1.5b,Qwen2.5-Instruct,1.5,gsm8k,few_shot,7.5,1.2,2
qwen-1.5b,Qwen2.5-Instruct,1.5,gsm8k,structured,13.0,1.9,2
qwen-1.5b,Qwen2.5-Instruct,1.5,gsm8k,zero_shot,3.2,1.2,2
qwen-1.5b,Qwen2.5-Instruct,1.5,mmlu,cot,45.5,2.6,2
qwen-1.5b,Qwen2.5-Instruct,1.5,mmlu,few_shot,54.8,0.7,2
qwen-1.5b,Qwen2.5-Instruct,1.5,mmlu,structured,57.0,4.2,2
qwen-1.5b,Qwen2.5-Instruct,1.5,mmlu,zero_shot,54.7,3.8,2
qwen-1.5b,Qwen2.5-Instruct,1.5,sst2,cot,84.8,0.7,2
qwen-1.5b,Qwen2.5-Instruct,1.5,sst2,few_shot,91.0,2.4,2
qwen-1.5b,Qwen2.5-Instruct,1.5,sst2,structured,90.0,1.4,2
qwen-1.5b,Qwen2.5-Instruct,1.5,sst2,zero_shot,84.2,3.5,2
qwen-3b,Qwen2.5-Instruct,3.0,gsm8k,cot,72.3,2.4,2
qwen-3b,Qwen2.5-Instruct,3.0,gsm8k,few_shot,2.0,0.5,2
qwen-3b,Qwen2.5-Instruct,3.0,gsm8k,structured,2.5,0.2,2
qwen-3b,Qwen2.5-Instruct,3.0,gsm8k,zero_shot,2.5,0.2,2
qwen-3b,Qwen2.5-Instruct,3.0,mmlu,cot,52.0,3.8,2
qwen-3b,Qwen2.5-Instruct,3.0,mmlu,few_shot,59.2,0.7,2
qwen-3b,Qwen2.5-Instruct,3.0,mmlu,structured,60.5,0.7,2
qwen-3b,Qwen2.5-Instruct,3.0,mmlu,zero_shot,60.3,0.9,2
qwen-3b,Qwen2.5-Instruct,3.0,sst2,cot,88.8,0.2,2
qwen-3b,Qwen2.5-Instruct,3.0,sst2,few_shot,81.0,0.9,2
qwen-3b,Qwen2.5-Instruct,3.0,sst2,structured,90.2,0.7,2
qwen-3b,Qwen2.5-Instruct,3.0,sst2,zero_shot,79.7,1.4,2
qwen-7b,Qwen2.5-Instruct,7.0,gsm8k,cot,89.0,1.4,2
qwen-7b,Qwen2.5-Instruct,7.0,gsm8k,few_shot,2.3,0.5,2
qwen-7b,Qwen2.5-Instruct,7.0,gsm8k,structured,25.2,1.6,2
qwen-7b,Qwen2.5-Instruct,7.0,gsm8k,zero_shot,14.7,0.5,2
qwen-7b,Qwen2.5-Instruct,7.0,mmlu,cot,54.0,1.9,2
qwen-7b,Qwen2.5-Instruct,7.0,mmlu,few_shot,72.8,1.6,2
qwen-7b,Qwen2.5-Instruct,7.0,mmlu,structured,73.5,0.2,2
qwen-7b,Qwen2.5-Instruct,7.0,mmlu,zero_shot,72.2,0.2,2
qwen-7b,Qwen2.5-Instruct,7.0,sst2,cot,93.0,2.4,2
qwen-7b,Qwen2.5-Instruct,7.0,sst2,few_shot,90.3,0.9,2
qwen-7b,Qwen2.5-Instruct,7.0,sst2,structured,94.0,1.9,2
qwen-7b,Qwen2.5-Instruct,7.0,sst2,zero_shot,84.5,4.0,2
